ACTO,CONVOCATORIA,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS
2024-06-30,Basta_Ya_O.D.D.,Canelones,60,CBA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,61,CBA,Departamental,2828,2
2024-06-30,Basta_Ya_O.D.D.,Canelones,66,CBA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,67,CBA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,68,CBA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,75,CBA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,77,CBA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,81,CBA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,89,CBA,Departamental,2828,2
2024-06-30,Basta_Ya_O.D.D.,Canelones,95,CCA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,122,CDA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,126,CDA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,128,CDA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,129,CDA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,132,CDA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,139,CDA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,140,CDA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,141,CDA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,146,CDA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,153,CDA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,154,CDA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,171,CDA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,179,CDA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,184,CDA,Departamental,2828,2
